word,danceability,count
que,0.78,12
its,0.75,28
want,0.75,18
had,0.73,11
dont,0.73,66
bad,0.73,13
youre,0.72,11
lost,0.72,11
les,0.72,15
girl,0.72,25
into,0.71,11
much,0.71,11
say,0.71,17
dream,0.7,16
need,0.7,14
little,0.7,31
never,0.7,25
boy,0.7,14
away,0.69,23
rock,0.69,24
