decade,mean,count
1920,0.63,6
1930,0.48,6
1940,0.52,4
1950,0.58,30
1960,0.65,137
1970,0.6,246
1980,0.64,437
1990,0.62,1201
2000,0.63,2536
2010,0.66,64
